Item,Descripcion,Cantidad,Unidad,Valor_Unitario,Total
1,MAQ AFEI SCHICK QUATRO,1.0,und,21700,21700
2,AGUACATE HAZZ,1.66,kg,5580,9263
3,LECHUGA BATAVIA,0.93,kg,3979,3701
4,MIX DUO ARVEJA ZANAHORIA,1.0,und,5750,5750
5,MAIZ DULCE SELECTI CONGELADO,1.0,und,10700,10700
6,CHAMPIÑON 150G TAJADO,1.0,und,5990,5990
7,TOMATE CHONTO,0.87,kg,5300,4611
8,HUEVO AAA ROJO X30,3.0,und,14550,43650
9,HIERBAS MONIK,2.0,und,1900,3800
10,BANANO COMUN,1.42,kg,2980,4232
11,BOLSA SUPERMERCADO,2.0,und,250,500
