Producto,Cantidad,Unidad,Precio
Filete de pechuga congelada,2.135,kg,38217
Lechuga batavia,0.86,kg,4799
Hierbas mix,2.0,und,3800
Cebolla cabezona,0.28,kg,644
Manzana verde bolsa,1.0,und,9990
Mango grueso,1.49,kg,4440
Maní Carolina sin sal,4.0,und,25400
Tomate chonto,1.09,kg,3248
Champiñón tajado 150g,1.0,und,5990
Papaya común,2.57,kg,8687
