Producto,Cantidad,Unidad,Precio
Yogurt griego,1,und,7300
Jamón Pietrán,1,und,13650
Queso parmesano,1,und,14850
Quesillo tajado,1,und,9990
Topping mediano,4,und,19800
Tortilla saborizada,1,und,4990
Desodorante,4,und,35600
Copitos Little,2,und,4980
