Item,Descripcion,Cantidad,Unidad,Valor_Unitario,Total
1,PAPA SIN LAVAR,1.48,kg,2100,3108
2,LECHUGA BATAVIA,1.0,kg,2980,2980
3,HIERBAS MONIK,2.0,und,1900,3800
4,CAFE LIOFILIZADO COLCAFE 47g,1.0,und,10550,10550
5,PAPAYA COMUN,1.3,kg,3380,4394
