Producto,Cantidad,Unidad,Precio
Arequipe sin,1,und,7990
Bolsa reciclable,2,und,400
Topping mediano,2,und,9900
Chips de vegetales,1,und,2990
Espuma de afeitar,1,und,6550
Tomates enteros,2,und,8700
Tostada integral,1,und,4950
Lonchera surtida,1,und,8490
Arepa amarilla,1,und,1850
Quesillo tajado,1,und,9990
Jamón Pietrán,1,und,13650
Alimento lácteo,1,und,15950
Hojuela de maíz,3,und,14970
Chicharrón,1,und,9990
Ponqué banano,1,und,11500
Pan tajado,1,und,5990
