Producto,Cantidad,Unidad,Total,Valor_Unitario,tienda,fecha,mes,año
leche mercacentro lv s.des 6x1000 ml,2.0,paq,44600.0,22300.0,mercacentro,2026-01-21,1,2026
jamon de cerdo,1.0,und,9490.0,9490.0,d1,2026-01-27,1,2026
queso mozzarella,1.0,und,9990.0,9990.0,d1,2026-01-27,1,2026
champiñones,1.0,und,4990.0,4990.0,d1,2026-01-27,1,2026
chocolate lynd,1.0,und,7990.0,7990.0,d1,2026-01-27,1,2026
brownie arequipe,1.0,und,1990.0,1990.0,d1,2026-01-27,1,2026
platanitos maduro,1.0,und,5490.0,5490.0,d1,2026-01-27,1,2026
ponque banano,1.0,und,11500.0,11500.0,d1,2026-01-27,1,2026
hojuela de maiz,2.0,und,9980.0,4990.0,d1,2026-01-27,1,2026
topping mediterraneo,2.0,und,9900.0,4950.0,d1,2026-01-27,1,2026
nachos crachos,1.0,und,3490.0,3490.0,d1,2026-01-27,1,2026
chips de vegetales,4.0,und,11960.0,2990.0,d1,2026-01-27,1,2026
bolsa ecologica,1.0,und,1200.0,1200.0,d1,2026-01-27,1,2026
mezcla chocodu,1.0,und,1950.0,1950.0,d1,2026-01-27,1,2026
filete de pechuga congelada,2.135,kg,38217.0,17900.23419203747,surtiplaza,2026-01-09,1,2026
lechuga batavia,0.86,kg,4799.0,5580.232558139535,surtiplaza,2026-01-09,1,2026
hierbas mix,2.0,und,3800.0,1900.0,surtiplaza,2026-01-09,1,2026
cebolla cabezona,0.28,kg,644.0,2300.0,surtiplaza,2026-01-09,1,2026
manzana verde bolsa,1.0,und,9990.0,9990.0,surtiplaza,2026-01-09,1,2026
mango grueso,1.49,kg,4440.0,2979.8657718120808,surtiplaza,2026-01-09,1,2026
maní carolina sin sal,4.0,und,25400.0,6350.0,surtiplaza,2026-01-09,1,2026
tomate chonto,1.09,kg,3248.0,2979.816513761468,surtiplaza,2026-01-09,1,2026
champiñón tajado 150g,1.0,und,5990.0,5990.0,surtiplaza,2026-01-09,1,2026
papaya común,2.57,kg,8687.0,3380.1556420233464,surtiplaza,2026-01-09,1,2026
yogurt griego,1.0,und,7300.0,7300.0,d1,2026-01-21,1,2026
topping,3.0,und,14850.0,4950.0,d1,2026-01-21,1,2026
queso holandes,1.0,und,8300.0,8300.0,d1,2026-01-21,1,2026
